name,slottime_GMT,slottype,slotavg,pointTitle
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 01:00:00,H,97616.92,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 02:00:00,H,97837.945,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 03:00:00,H,97638.2175,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 04:00:00,H,97948.57,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 05:00:00,H,95208.725,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 06:00:00,H,99041.74,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 07:00:00,H,105608.15,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 08:00:00,H,109340.925,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 09:00:00,H,117420.45,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 10:00:00,H,129103.675,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 11:00:00,H,130299.3,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 12:00:00,H,138653.7,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 13:00:00,H,143243.1,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 14:00:00,H,137062.7,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 15:00:00,H,131470.975,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 16:00:00,H,122388,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 17:00:00,H,115972.525,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 18:00:00,H,119008.95,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 19:00:00,H,120204.85,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 20:00:00,H,118812.15,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 21:00:00,H,123512.425,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 22:00:00,H,126153,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-06 23:00:00,H,124492,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 00:00:00,H,122035.85,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 01:00:00,H,121974.15,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 02:00:00,H,120010.05,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 03:00:00,H,118985.85,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 04:00:00,H,120938.6,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 05:00:00,H,120336.9,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 06:00:00,H,118396.55,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 07:00:00,H,121600.8,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 08:00:00,H,124349.975,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 09:00:00,H,128402.225,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 10:00:00,H,136570.9,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 11:00:00,H,142692.425,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 12:00:00,H,144951.8,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 13:00:00,H,146156.95,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 14:00:00,H,135997.85,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 15:00:00,H,125698.8,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 16:00:00,H,127518.0867,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 17:00:00,H,128654.5,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 18:00:00,H,135917.15,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 19:00:00,H,140360.15,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 20:00:00,H,141902.8778,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 21:00:00,H,152790,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 22:00:00,H,153636.325,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-07 23:00:00,H,155810.625,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 00:00:00,H,155679.375,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 01:00:00,H,152992.675,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 02:00:00,H,153986.375,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 03:00:00,H,154194.275,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 04:00:00,H,151463.075,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 05:00:00,H,149455.275,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 06:00:00,H,146868.525,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 07:00:00,H,152708.1,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 08:00:00,H,156192.4,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 09:00:00,H,159161.825,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 10:00:00,H,165746.55,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 11:00:00,H,165667.75,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 12:00:00,H,170112.725,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 13:00:00,H,169324.2,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 14:00:00,H,163949,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 15:00:00,H,151553.925,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 16:00:00,H,137224.675,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 17:00:00,H,128286.5,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 18:00:00,H,121113.975,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 19:00:00,H,120585.825,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 20:00:00,H,123795.05,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 21:00:00,H,126880.325,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 22:00:00,H,134097.45,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-08 23:00:00,H,137495.55,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 00:00:00,H,138550.375,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 01:00:00,H,134955,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 02:00:00,H,135204.225,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 03:00:00,H,129316.9,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 04:00:00,H,120558.275,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 05:00:00,H,119518.05,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 06:00:00,H,117491.375,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 07:00:00,H,122478,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 08:00:00,H,123141.35,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 09:00:00,H,125967.65,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 10:00:00,H,128861.75,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 11:00:00,H,129981.15,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 12:00:00,H,132881.55,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 13:00:00,H,128808.2267,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 14:00:00,H,125753.775,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 15:00:00,H,119090.275,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 16:00:00,H,114680.325,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 17:00:00,H,111345.425,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 18:00:00,H,105268.25,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 19:00:00,H,104332.525,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 20:00:00,H,103097.975,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 21:00:00,H,98943.9175,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 22:00:00,H,96082.42,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-09 23:00:00,H,100374.9125,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-10 00:00:00,H,106942.7,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-10 01:00:00,H,110162.8,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-10 02:00:00,H,112878.6,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-10 03:00:00,H,117036.95,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-10 04:00:00,H,118507,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-10 05:00:00,H,123262.8,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-10 06:00:00,H,131526.95,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-10 07:00:00,H,134917.775,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-10 08:00:00,H,138452.275,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-10 09:00:00,H,152611.575,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-10 10:00:00,H,157206.45,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-10 11:00:00,H,163108.35,Total Steam Export
CentralHeatingPlant.STM.TOTAL_EXPORT.MassFlow,2022-01-10 12:00:00,H,168767.375,Total Steam Export
